"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","notes","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_var_total2","ch2_var_total_check","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_notes","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_notes","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch44_notes","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch58_notes","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_notes","ch72_supered","ch77_var_total","ch77_var_total2","ch77_var_total_check","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_lbs","ch77_lbs2","ch77_lbs_check","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","post_notes","chpost_var_total","chpost_var_total2","chpost_var_total_check","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","ch77_qstatus","ch77_efb","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","frames_bees","frames_wbr","frames_dbr","frames_honey","post_lbs_C","post_kgs_C"
"35","22-035","Shaw","3/8/22","MOT","20-71",4,2,4,"7-HopGuard",7,"","3/10/22",NA,NA,8,8,"0",281,2,0,"3/26/22","QS","","Y","L4",7,"4/7/22","Y","QR","","Capped",NA,"11","#VALUE!",11,"4/21/22","Y","QR",10.5,"","5/5/22","Y","QR","12","","5/19/22","N","QL",13,"knocked down several swarm cells; left one; youngest brood prepupa","",15,15,"0",370,6,0,134.6,134.6,"0","Normal",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"5/24/22",77,"VQS","VS",NA,"HopGuard","Natural","VQS NA",0,283,376,NA,"QR QR QL VS VQS",0,0,1,0,1,1,3.575,0.7375,0.0375,7.8375,NA,NA
"36","22-036","Shaw","3/8/22","MOT","20-71",4,2,4,"4-Dribble18",4,"","3/10/22",NA,NA,5,5,"0",289,5,0,"3/26/22","QR","","Y","Eggs",2,"4/7/22","Y","QS","","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",9,"","5/5/22","Y","QS","12","","5/19/22","Y","QR",5,"knocked down many swarm cells; looks like not yet swarmed; many ants","",23,23,"0",304,13,0,133.4,133.4,"0","Normal",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"5/24/22",77,"QL and decimated by ants","QL",NA,"OA Dribble","Natural","QL and decimated by ants NA",0,294,317,NA,"QR QS QR QL QL and decimated by ants",0,0,1,0,1,1,1.7375,1.475,0.075,10.81,NA,NA
"37","22-037","Shaw","3/8/22","S6","21-228",4,3,4,"5-Vapor18",5,"","3/10/22",NA,NA,5,5,"0",234,24,0,"3/26/22","QNS","lots of old sealed brood (picture)","N",NA,NA,"4/7/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",7.5,"","5/5/22","Y","QR","12","","5/19/22","Y","QR",14,"","",8,8,"0",347,0,0,142.6,142.6,"0","Normal",1,"7/1/22",1,163,"QR",13,NA,"plugged",4,4,0,287,2,0,"",NA,"","QS",NA,"OA Vapor","Natural"," NA",0,258,347,289,"QR QR QR QS ",0,0,0,0,1,0,3.65,2.0625,0,8.4,163,74.002
"38","22-038","Shaw","3/8/22","S6","21-228",4,3,4,"1-Control",1,"","3/10/22",NA,NA,3,3,"0",285,14,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QR","","L2",5,"#VALUE!","25",25,"4/21/22","Y","DL",4,"bad ants; 3/4 feeder remaining; bad drone layer",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/21/22",44,"DL",NA,NA,"Control","Control","DL NA",0,299,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"39","22-039","Shaw","3/8/22","S6","21-228",4,3,4,"2-Apivar",2,"","3/10/22",NA,NA,2,2,"0",272,16,0,"3/26/22","QNS","1 emerged natural q cell","N",NA,NA,"4/7/22","Y","QR","","L3",6,"#VALUE!","24",24,"4/21/22","Y","DL",4,"bad drone layer",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/21/22",44,"DL",NA,NA,"Apivar","Synthetic","DL NA",0,288,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"40","22-040","Shaw","3/8/22","S6","21-224",16,3,2,"2-Apivar",2,"","3/10/22",10,10,20,20,"0",274,4,0,"3/26/22","QR","","Y","L4",7,"4/7/22","Y","QR","","Capped",NA,"11","#VALUE!",11,"4/21/22","Y","QR",8,"ants","5/5/22","Y","QR","11.5","","5/19/22","Y","QR",12,"knocked down one swarm cell; does not appear to have swarmed yet","",19,19,"0",388,6,0,134.6,134.6,"0","Normal",1,"7/1/22",1,146.4,"QR",10,NA,"plugged",35,35,0,453,0,0,"",NA,"","QS",NA,"Apivar","Synthetic"," NA",0,278,394,453,"QR QR QR QS ",0,0,0,0,1,0,2.7,2.05,0,7.775,146.4,66.4656
"41","22-041","Shaw","3/8/22","S6","21-224",16,3,2,"5-Vapor18",5,"","3/10/22",5,14,19,19,"0",294,4,0,"3/26/22","QNS","Weak 2.5fob","N",NA,NA,"4/7/22","N","QNS","Dud. Remove from trial",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,"OA Vapor","Natural","Failed to mate NA",0,298,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"42","22-042","Shaw","3/8/22","S6","21-224",16,3,2,"7-HopGuard",7,"","3/10/22",NA,NA,24,24,"0",282,1,0,"3/26/22","QS","","Y","L1",4,"4/7/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",8.5,"","5/5/22","Y","QR","12.5","","5/19/22","Y","QR",16,"","second super",2,2,"0",276,9,0,163.8,163.8,"0","Normal",2,"7/1/22",2,203.4,"QR",16,NA,"shb",5,5,0,366,3,0,"",NA,"","QR",NA,"HopGuard","Natural"," NA",0,283,285,369,"QR QR QR QR ",0,0,0,0,1,0,4.281,2.475,0.025,9.871,191.4,86.8956
"43","22-043","Wire","3/15/22","S6","21-229",3,3,1,"6-ManyDribble",6,"","3/17/22",4,0,4,4,"0",277,19,0,"4/2/22","QS","","Y","Eggs",2,"4/14/22","Y","QR","","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",8.5,"","5/12/22","Y","QR","14","","5/26/22","Y","QR",12.5,"","",4,4,"0",353,8,0,129.2,129.2,"0","Four",3,"6/30/22",3,228.4,"QR",14,NA,"",5,5,0,340,7,0,"",NA,"","QS",NA,"5x OA Dribble","Natural"," NA",0,296,361,347,"QR QR QR QS ",0,0,0,0,1,0,3.964,3.025,0.125,7.154,204.4,92.7976
"44","22-044","Wire","3/15/22","S6","21-229",3,3,2,"4-Dribble18",4,"","3/17/22",1,0,1,1,"0",271,17,0,"4/2/22","VQS","Virgin & emerged cells","N",NA,NA,"4/14/22","Y","QS","","Eggs",2,"#VALUE!","28",28,"4/28/22","Y","QR",4,"","5/12/22","Y","QR","5","open pupil cells uncapped","5/26/22","Y","QR",8,"","",1,1,"0",407,0,0,97.2,97.2,"0","Normal",1,"6/30/22",1,150,"QR",11,NA,"plugged small nest old bees",0,0,0,283,7,0,"",NA,"","QR",NA,"OA Dribble","Natural"," NA",0,288,407,290,"QR QR QR QR ",0,0,0,0,1,0,2.675,2.2625,0,2.8,150,68.1
"45","22-045","Wire","3/15/22","S6","21-229",3,3,2,"7-HopGuard",7,"","3/17/22",4,0,4,4,"0",299,2,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",3,"","5/12/22","Y","QR","6","shotgun brood; uncapped pupil cells","5/26/22","Y","QS",5,"Mod EFB; leave in","",1,1,"0",290,0,0,95,95,"0","Normal",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"5/31/22",77,"EFB","QR",NA,"HopGuard","Natural","EFB NA",1,301,290,NA,"QR QR QS QR EFB",0,0,0,0,1,1,1.45,0.825,0,3.65,NA,NA
"46","22-046","Wire","3/15/22","S6","21-226",1,3,4,"1-Control",1,"","3/17/22",NA,NA,0,0,"0",322,2,0,"4/2/22","QS","","Y","Eggs",2,"4/14/22","Y","QR","","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",12,"","5/12/22","Y","QR","18","need super","5/26/22","Y","QR",17,"Pissy!","",6,6,"0",283,15,0,145,145,"0","Normal",2,"6/30/22",2,183.4,"QNS",13,1,"QL youngest brood purple eyed",44,44,0,270,2,0,"",NA,"","QS",NA,"Control","Control"," NA",0,324,298,272,"QR QR QR QS ",0,0,0,0,1,0,9.732,2.625,0.2625,9.216,171.4,77.8156
"47","22-047","Wire","3/15/22","S6","21-226",1,3,4,"7-HopGuard",7,"","3/17/22",NA,NA,0,0,"0",335,0,0,"4/2/22","VQS","","N",NA,NA,"4/14/22","Y","QS","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",6,"","5/12/22","Y","QR","13","","5/26/22","Y","QR",12,"","",1,1,"0",355,6,0,132.6,132.6,"0","Normal",1,"6/30/22",1,152.2,"QL",9,1,"youngest is capped",12,12,0,237,21,0,"",NA,"","QS",NA,"HopGuard","Natural"," NA",0,335,361,258,"QR QR QR QS ",0,0,0,0,1,0,5.747,2.4,0.5125,6.66,152.2,69.0988
"48","22-048","Wire","3/15/22","S6","21-226",1,3,4,"4-Dribble18",4,"","3/17/22",NA,NA,0,0,"0",317,1,0,"4/2/22","QS","","Y","L1",4,"4/14/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QS",8,"","5/12/22","Y","QR","17","needs super; prov QC","5/26/22","Y","QR",17,"","",0,0,"0",340,3,0,143.2,143.2,"0","Normal",1,"6/30/22",1,169.8,"QNS",14,1,"youngest brood is l3",5,5,0,335,1,0,"",NA,"","QR",NA,"OA Dribble","Natural"," NA",0,318,343,336,"QS QR QR QR ",0,0,0,0,1,0,8.8802,2.825,0.125,7.548,169.8,77.0892
"49","22-049","Wire","3/15/22","S6","21-216",1,3,3,"7-HopGuard",7,"","3/17/22",NA,NA,13,13,"0",284,58,0,"4/2/22","VQS","","N",NA,NA,"4/14/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",3.5,"","5/12/22","Y","QR","8","","5/26/22","Y","QR",9,"","",4,4,"0",288,5,0,106.4,106.4,"0","Four",2,"6/30/22",2,175.6,"QR",18,NA,"",4,4,0,248,5,0,"",NA,"","QR",NA,"HopGuard","Natural"," NA",0,342,293,253,"QR QR QR QR ",0,0,0,0,1,0,4.2435,2.475,0.1875,2.675,163.6,74.2744
"50","22-050","Wire","3/15/22","S6","21-216",1,3,4,"2-Apivar",2,"","3/17/22",NA,NA,3,3,"0",304,24,0,"4/2/22","QNS","Small, 1.5 FOB","N",NA,NA,"4/14/22","Y","QS","Weak 2 FoB","L5",8,"#VALUE!","22",22,"4/28/22","Y","QS",2,"REMOVE; too weak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/28/22",44,"Weak",NA,NA,"Apivar","Synthetic","Weak NA",0,328,NA,NA,"QS NA NA NA Weak",0,1,0,0,1,1,NA,NA,NA,NA,NA,NA
"51","22-051","Wire","3/15/22","S6","21-216",1,3,4,"3-Taktic",3,"","3/17/22",NA,NA,2,2,"0",225,11,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QS","Weak 2FoB","L1",4,"#VALUE!","26",26,"4/28/22","Y","QS",3,"REMOVE; becoming DL; possibly also EFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,"Amitraz EC","Synthetic","DL NA",0,236,NA,NA,"QS NA NA NA DL",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"52","22-052","Wire","3/15/22","S6","21-215",2,2,2,"3-Taktic",3,"","3/17/22",NA,NA,3,3,"0",338,28,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QR","","Eggs",2,"#VALUE!","28",28,"4/28/22","N","DL",3,"REMOVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,"Amitraz EC","Synthetic","DL NA",0,366,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"53","22-053","Wire","3/15/22","S6","21-215",2,2,2,"1-Control",1,"","3/17/22",NA,NA,1,1,"0",252,18,0,"4/2/22","QS","","Y","Eggs",2,"4/14/22","Y","QR","","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",10,"","5/12/22","Y","QR","14","","5/26/22","Y","QR",14,"","",3,3,"0",332,2,0,132.6,132.6,"0","Normal",1,"6/30/22",1,162.4,"QL",17,1,"no signs of queen cells",19,19,0,341,3,0,"",NA,"","QR",NA,"Control","Control"," NA",0,270,334,344,"QR QR QR QR ",0,0,0,0,1,0,4.356,3.25,0.2125,5.931,162.4,73.7296
"54","22-054","Wire","3/15/22","S6","21-211",0,4,5,"6-ManyDribble",6,"","3/17/22",NA,NA,2,2,"0",248,35,0,"4/2/22","QS","","Y","L1",4,"4/14/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",6.5,"","5/12/22","Y","QR","8","","5/26/22","Y","QR",9.5,"","",2,2,"0",330,5,0,126,126,"0","Normal",1,"6/30/22",1,161.8,"QL",15,1,"several capped cells emergency and swarm type",11,11,0,283,10,0,"",NA,"","QR",NA,"5x OA Dribble","Natural"," NA",0,283,335,293,"QR QR QR QR ",0,0,0,0,1,0,3.2,1.325,0.3625,7.325,161.8,73.4572
"55","22-055","Wire","3/15/22","S6","21-211",0,4,5,"3-Taktic",3,"","3/17/22",NA,NA,1,1,"0",286,13,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QR","","L2",5,"#VALUE!","25",25,"4/28/22","Y","DL",4,"REMOVE; lots of ants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,"Amitraz EC","Synthetic","DL NA",0,299,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"56","22-056","Wire","3/15/22","S6","21-211",0,4,5,"1-Control",1,"","3/17/22",NA,NA,0,0,"0",287,7,0,"4/2/22","QR","","Y","L1",4,"4/14/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",12.5,"","5/12/22","Y","QR","16","needs super","5/26/22","Y","QR",15,"","",4,4,"0",338,2,0,138.4,138.4,"0","Four",3,"6/30/22",3,240.2,"QR",18,NA,"",4,4,0,337,1,0,"",NA,"","QR",NA,"Control","Control"," NA",0,294,340,338,"QR QR QR QR ",0,0,0,0,1,0,7.092,3.0625,0.0875,9.27,216.2,98.1548
"57","22-057","Wire","3/15/22","S6","21-211",0,4,5,"2-Apivar",2,"","3/17/22",NA,NA,0,0,"0",297,15,0,"4/2/22","QR","Ants","Y","Eggs",2,"4/14/22","Y","QR","","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",8,"","5/12/22","Y","QR","16","needs super","5/26/22","Y","QR",16,"","",2,2,"0",359,3,0,134.8,134.8,"0","Normal",2,"6/30/22",2,159.8,"VQS",13,1,"sealed drone brood",9,9,0,244,2,0,"",NA,"","QR",NA,"Apivar","Synthetic"," NA",0,312,362,246,"QR QR QR QR ",0,0,0,0,1,0,6.475,3.8625,0.375,6.025,147.8,67.1012
"58","22-058","Wire","3/15/22","S6","21-210",1,3,3,"4-Dribble18",4,"","3/17/22",NA,NA,0,0,"0",334,6,0,"4/2/22","VQS","ants","N",NA,NA,"4/14/22","Y","QS","Weak 2 FoB","L5",8,"#VALUE!","22",22,"4/28/22","Y","QR",2,"REMOVE; weak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/28/22",44,"Weak",NA,NA,"OA Dribble","Natural","Weak NA",0,340,NA,NA,"QR NA NA NA Weak",0,1,0,0,1,1,NA,NA,NA,NA,NA,NA
"59","22-059","Wire","3/15/22","S6","21-210",1,3,3,"3-Taktic",3,"","3/17/22",NA,NA,0,0,"0",248,21,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QS","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",12,"worked towel; picture","5/12/22","Y","QR","12","","5/26/22","Y","QR",11,"","",1,1,"0",227,0,0,130.4,130.4,"0","Normal",2,"6/30/22",2,217.4,"QR",18,NA,"",3,3,0,349,5,0,"",NA,"","QR",NA,"Amitraz EC","Synthetic"," NA",0,269,227,354,"QR QR QR QR ",0,0,0,0,1,0,2.844,2.4,0.2,7.037,205.4,93.2516
"60","22-060","Wire","3/15/22","S6","21-210",1,3,3,"1-Control",1,"","3/17/22",NA,NA,0,0,"0",283,6,0,"4/2/22","QR","","Y","L1",4,"4/14/22","Y","QS","","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",9,"provisioned Q cells; looks like supersedure","5/12/22","Y","QR","8","","5/26/22","N","QNS",6,"youngest brd purple eye; leave in","",22,22,"0",359,16,0,108.2,108.2,"0","Normal",1,"6/30/22",1,137.8,"QS",12,NA,"plump queen",5,5,0,260,0,0,"",NA,"","QR",NA,"Control","Control"," NA",0,289,375,260,"QR QR QNS QR ",0,0,0,0,1,0,2.31,0,0.025,5.3,137.8,62.5612
"61","22-061","Wire","3/15/22","S6","21-206",2,3,2,"2-Apivar",2,"","3/17/22",NA,NA,3,3,"0",254,26,0,"4/2/22","QR","","Y","Eggs",2,"4/14/22","Y","QS","","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",11,"","5/12/22","Y","QR","16","needs super; provisioned swarm cell; not crushed","5/26/22","Y","QR",13,"","",2,2,"0",293,14,0,158.4,158.4,"0","Normal",3,"6/30/22",3,258.8,"QR",20,NA,"huge",15,15,0,346,5,0,"",NA,"","QS",NA,"Apivar","Synthetic"," NA",0,280,307,351,"QR QR QR QS ",0,0,0,0,1,0,6.006,2.85,0.15,10.769,234.8,106.5992
"62","22-062","Wire","3/15/22","S6","21-206",2,3,2,"5-Vapor18",5,"","3/17/22",NA,NA,3,3,"0",382,4,0,"4/2/22","VQS","","N",NA,NA,"4/14/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QS",4,"ants","5/12/22","Y","QR","7","not a lot of RJ","5/26/22","Y","QR",6,"","",0,0,"0",382,0,0,103.4,103.4,"0","Normal",2,"6/30/22",2,197.2,"QS",16,NA,"",3,3,0,383,0,0,"",NA,"","QS",NA,"OA Vapor","Natural"," NA",0,386,382,383,"QS QR QR QS ",0,0,0,0,1,0,2.9,3.25,0,2.125,185.2,84.0808
"63","22-063","Wire","3/15/22","S6","21-206",2,3,2,"6-ManyDribble",6,"","3/17/22",NA,NA,1,1,"0",307,14,0,"4/2/22","QS","","Y","Eggs",2,"4/14/22","Y","QR","","Capped",NA,"16","#VALUE!",16,"4/28/22","Y","QR",13,"","5/12/22","Y","QR","8","feeder straps broken","5/26/22","Y","QR",15,"","",5,5,"0",260,16,0,143.2,143.2,"0","Normal",2,"6/30/22",2,216.6,"QS",18,NA,"",10,10,0,319,19,0,"",NA,"","QR",NA,"5x OA Dribble","Natural"," NA",0,321,276,338,"QR QR QR QR ",0,0,0,0,1,0,6.775,2.2625,0.425,7.05,204.6,92.8884
"64","22-064","Wire","3/15/22","S6","21-203",0,3,5,"5-Vapor18",5,"","3/17/22",NA,NA,0,0,"0",323,8,0,"4/2/22","QNS","Emerged cells","N",NA,NA,"4/14/22","Y","QR","Weak 2.5 FoB","L5",8,"#VALUE!","22",22,"4/28/22","Y","QR",2,"small but looks like will take off","5/12/22","Y","QR","6","","5/26/22","Y","QR",5.5,"","",0,0,"0",360,0,0,97.6,97.6,"0","Normal",1,"6/30/22",1,146.2,"QR",14,NA,"",2,2,0,377,4,0,"",NA,"","QR",NA,"OA Vapor","Natural"," NA",0,331,360,381,"QR QR QR QR ",0,0,0,0,1,0,4.275,2.5375,0.1,2.55,146.2,66.3748
"65","22-065","Wire","3/15/22","S6","21-203",0,3,5,"4-Dribble18",4,"","3/17/22",NA,NA,2,2,"0",287,10,0,"4/2/22","QNS","Sealed and emerged cells","N",NA,NA,"4/14/22","Y","QR","","L5",8,"#VALUE!","22",22,"4/28/22","Y","QS",4,"","5/12/22","Y","QR","11","","5/26/22","Y","QS",8,"","",0,0,"0",386,0,0,106.2,106.2,"0","Normal",2,"6/30/22",2,187.2,"QR",20,NA,"great pattern",0,0,0,239,5,0,"",NA,"","QR",NA,"OA Dribble","Natural"," NA",0,297,386,244,"QS QR QS QR ",0,0,0,0,1,0,4.1,3.625,0.1875,2.45,175.2,79.5408
"66","22-066","Wire","3/15/22","S6","21-203",0,3,5,"7-HopGuard",7,"","3/17/22",NA,NA,1,1,"0",285,19,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","N","QNS","Weak 1FoB. Dud. Remove from trial",NA,NA,"#VALUE!","#VALUE!",NA,"4/28/22",NA,NA,NA,"Death date 4/14/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/14/22",30,"Failed to mate",NA,NA,"HopGuard","Natural","Failed to mate NA",0,304,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"67","22-067","Wire","3/15/22","S6","21-202",5,3,1,"3-Taktic",3,"","3/17/22",2,1,3,3,"0",251,5,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QR","Weak 3 FoB; Greasy hairless bees; multiple queen-laid eggs per cell; sealed queen cell","L1",4,"#VALUE!","26",26,"4/28/22","Y","DL",3.5,"REMOVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/28/22",44,"DL",NA,NA,"Amitraz EC","Synthetic","DL NA",0,256,NA,NA,"DL NA NA NA DL",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"68","22-068","Wire","3/15/22","S6","21-202",5,3,1,"4-Dribble18",4,"","3/17/22",1,0,1,1,"0",265,6,0,"4/2/22","VQS","","N",NA,NA,"4/14/22","Y","QS","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",6,"","5/12/22","Y","QR","7","","5/26/22","Y","QR",13,"","",11,11,"0",377,4,0,109.6,109.6,"0","Normal",1,"6/30/22",1,166.4,"QR",16,NA,"plugged with pollen",11,11,0,386,4,0,"",NA,"","QS",NA,"OA Dribble","Natural"," NA",0,271,381,390,"QR QR QR QS ",0,0,0,0,1,0,3.05,2.9,0.2,3.6,166.4,75.5456
"69","22-069","Wire","3/15/22","S6","21-202",5,3,1,"1-Control",1,"","3/17/22",0,0,0,0,"0",274,0,0,"4/2/22","QNS","","N",NA,NA,"4/14/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/28/22","Y","QR",5,"","5/12/22","Y","QR","6","","5/26/22","Y","QR",11,"","",0,0,"0",338,1,0,106.4,106.4,"0","Normal",2,"6/30/22",2,180.2,"QR",17,NA,"",1,1,0,246,1,0,"",NA,"","QS",NA,"Control","Control"," NA",0,274,339,247,"QR QR QR QS ",0,0,0,0,1,0,2.85,3.15,0.025,3.675,168.2,76.3628
"70","22-070","Wire","3/15/22","S6","21-201",1,3,3,"5-Vapor18",5,"","3/17/22",NA,NA,0,0,"0",336,7,0,"4/2/22","QS","","Y","L1",4,"4/14/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/28/22","Y","QR",13,"","5/12/22","Y","QR","17","","5/26/22","Y","QR",17,"","",3,3,"0",368,15,0,148.8,148.8,"0","Normal",3,"6/30/22",3,224.6,"QR",19,NA,"",14,14,0,286,19,0,"",NA,"","QR",NA,"OA Vapor","Natural"," NA",0,343,383,305,"QR QR QR QR ",0,0,0,0,1,0,5.185,2.2,0.4375,9.056,200.6,91.0724
